Loaded 10000 UniProt IDs
Scanned 10/10000 | reused=10 | fetched_new=0 | failed=0
Scanned 20/10000 | reused=20 | fetched_new=0 | failed=0
Scanned 30/10000 | reused=30 | fetched_new=0 | failed=0
Scanned 40/10000 | reused=40 | fetched_new=0 | failed=0
Scanned 50/10000 | reused=50 | fetched_new=0 | failed=0
Scanned 60/10000 | reused=60 | fetched_new=0 | failed=0
Scanned 70/10000 | reused=70 | fetched_new=0 | failed=0
Scanned 80/10000 | reused=80 | fetched_new=0 | failed=0
Scanned 90/10000 | reused=90 | fetched_new=0 | failed=0
Scanned 100/10000 | reused=100 | fetched_new=0 | failed=0
Scanned 110/10000 | reused=110 | fetched_new=0 | failed=0
Scanned 120/10000 | reused=120 | fetched_new=0 | failed=0
Scanned 130/10000 | reused=130 | fetched_new=0 | failed=0
Scanned 140/10000 | reused=140 | fetched_new=0 | failed=0
Scanned 150/10000 | reused=150 | fetched_new=0 | failed=0
Scanned 160/10000 | reused=160 | fetched_new=0 | failed=0
Scanned 170/10000 | reused=170 | fetched_new=0 | failed=0
Scanned 180/10000 | reused=180 | fetched_new=0 | failed=0
Scanned 190/10000 | reused=190 | fetched_new=0 | failed=0
Scanned 200/10000 | reused=200 | fetched_new=0 | failed=0
Scanned 210/10000 | reused=210 | fetched_new=0 | failed=0
Scanned 220/10000 | reused=220 | fetched_new=0 | failed=0
Scanned 230/10000 | reused=230 | fetched_new=0 | failed=0
Scanned 240/10000 | reused=240 | fetched_new=0 | failed=0
Scanned 250/10000 | reused=250 | fetched_new=0 | failed=0
Scanned 260/10000 | reused=260 | fetched_new=0 | failed=0
Scanned 270/10000 | reused=270 | fetched_new=0 | failed=0
Scanned 280/10000 | reused=280 | fetched_new=0 | failed=0
Scanned 290/10000 | reused=290 | fetched_new=0 | failed=0
Scanned 300/10000 | reused=300 | fetched_new=0 | failed=0
Scanned 310/10000 | reused=310 | fetched_new=0 | failed=0
Scanned 320/10000 | reused=320 | fetched_new=0 | failed=0
Scanned 330/10000 | reused=330 | fetched_new=0 | failed=0
Scanned 340/10000 | reused=340 | fetched_new=0 | failed=0
Scanned 350/10000 | reused=350 | fetched_new=0 | failed=0
Scanned 360/10000 | reused=359 | fetched_new=0 | failed=1
Scanned 370/10000 | reused=369 | fetched_new=0 | failed=1
Scanned 380/10000 | reused=379 | fetched_new=0 | failed=1
Scanned 390/10000 | reused=389 | fetched_new=0 | failed=1
Scanned 400/10000 | reused=399 | fetched_new=0 | failed=1
Scanned 410/10000 | reused=409 | fetched_new=0 | failed=1
Scanned 420/10000 | reused=419 | fetched_new=0 | failed=1
Scanned 430/10000 | reused=429 | fetched_new=0 | failed=1
Scanned 440/10000 | reused=439 | fetched_new=0 | failed=1
Scanned 450/10000 | reused=449 | fetched_new=0 | failed=1
Scanned 460/10000 | reused=459 | fetched_new=0 | failed=1
Scanned 470/10000 | reused=469 | fetched_new=0 | failed=1
Scanned 480/10000 | reused=479 | fetched_new=0 | failed=1
Scanned 490/10000 | reused=489 | fetched_new=0 | failed=1
Scanned 500/10000 | reused=499 | fetched_new=0 | failed=1
Scanned 510/10000 | reused=509 | fetched_new=0 | failed=1
Scanned 520/10000 | reused=519 | fetched_new=0 | failed=1
Scanned 530/10000 | reused=529 | fetched_new=0 | failed=1
Scanned 540/10000 | reused=539 | fetched_new=0 | failed=1
Scanned 550/10000 | reused=549 | fetched_new=0 | failed=1
Scanned 560/10000 | reused=559 | fetched_new=0 | failed=1
Scanned 570/10000 | reused=569 | fetched_new=0 | failed=1
Scanned 580/10000 | reused=579 | fetched_new=0 | failed=1
Scanned 590/10000 | reused=589 | fetched_new=0 | failed=1
Scanned 600/10000 | reused=599 | fetched_new=0 | failed=1
Scanned 610/10000 | reused=609 | fetched_new=0 | failed=1
Scanned 620/10000 | reused=619 | fetched_new=0 | failed=1
Scanned 630/10000 | reused=629 | fetched_new=0 | failed=1
Scanned 640/10000 | reused=639 | fetched_new=0 | failed=1
